Date       | Time      | What I worked on
---------------------------------------------------------------
April 02   | 10:15 AM  | I started setting up my project’s foundation by creating the Board and GameRound classes. I struggled a bit with the board size validation but eventually fixed the off-by-one error.
April 02   | 03:30 PM  | I revisited the board logic, refining the square indexing. I encountered an unexpected bug and spent extra time debugging, which was a bit frustrating but at the end, it was satisfying.
April 03   | 09:45 AM  | I focused on implementing the Computer player’s move logic. I experimented with generating valid move combinations and hit a bug in my backtracking algorithm—definitely a head-scratcher!
April 03   | 02:20 PM  | I updated the Human player’s move function to align with upcoming UI work. It was little optimistic as I outlined how the UI would interact with my code.
April 04   | 11:10 AM  | I worked on the Tournament class to aggregate scores across rounds. I discovered that the score updates weren’t working as expected and had to dive into some debugging.
April 05   | 01:00 PM  | I added the GameRound serialization method for saving game states. While testing, I encountered a minor data formatting error which I quickly fixed.
April 06   | 04:45 PM  | I started integrating the UI fragments (like fragment_game.xml) with backend logic. It was a busy day wiring up button actions and testing file input/output.
April 07   | 10:30 AM  | I debugged the dice roll logic in the RollFragment. The dice sum calculation was off, but after a few hours of review, I managed to fix the error.
April 08   | 02:15 PM  | Today I ready for the demo by polishing the UI and ensuring all game features were functional. I also prepared a brief presentation of the game flow.
April 09   | 09:50 AM  | I present my demo yesterday. I got extension to submit it on Friday. I spent the day fixing the issues that were pointed out during the demo and added some additional features. Like
April 10   | 05:00 PM  | I spent all day refactoring my code and fixing the errors that I made during my first demo. I added some comments and improved readability while making a lot of UI changes based on my test runs.
April 11   | 10:20 AM  | I finalized the project and wrapped up writing documentation. I made sure all classes were well-commented and the README was updated with instructions for running the project. And submitted the project.
